model,split,pearson,spearman,mse,mae,top50_precision,top50_recall,timestamp
baseline,val,0.17170944547350125,0.014497744279080483,0.0007147549535895261,0.006288493020816035,0.5573333333333333,0.5573333333333333,2026-09-11T17:33:25.430250+00:00
baseline,test,0.2796788795968852,0.03892258844149309,0.0005990021686892286,0.005924528716787623,0.5423529411764706,0.5423529411764706,2026-09-11T17:33:25.438915+00:00
film_head,val,0.5404043796185309,0.1653726448540956,2.1020640270679554,0.14358449512574978,0.5546666666666666,0.5546666666666666,2026-09-22T02:18:13.496321+00:00
film_head,test,0.711215906225011,0.2643872517994767,2.500879040606774,0.14772014548571663,0.5376470588235295,0.5376470588235295,2026-09-22T02:18:13.509812+00:00
baseline,val,0.3634867597435607,0.1740892633432852,0.003084175335244599,0.02124542248661393,0.31466666666666665,0.31466666666666665,2026-09-22T19:40:03.396695+00:00
baseline,val,0.3634867597435607,0.1740892633432852,0.003084175335244599,0.02124542248661393,0.31466666666666665,0.31466666666666665,2026-09-22T19:40:03.396695+00:00
baseline,test,0.577817590926787,0.2708716476946284,0.0022425375423206512,0.018891067730751998,0.36117647058823527,0.36117647058823527,2026-09-22T19:40:03.408118+00:00
baseline,test,0.577817590926787,0.2708716476946284,0.0022425375423206512,0.018891067730751998,0.36117647058823527,0.36117647058823527,2026-09-22T19:40:03.408118+00:00
film_head,val,0.5404043796185309,0.1653726448540956,2.1020640270679554,0.14358449512574978,0.5546666666666666,0.5546666666666666,2026-09-22T19:41:07.946277+00:00
film_head,test,0.711215906225011,0.2643872517994767,2.500879040606774,0.14772014548571663,0.5376470588235295,0.5376470588235295,2026-09-22T19:41:07.959236+00:00
baseline,val,0.3634867597435607,0.1740892633432852,0.003084175335244599,0.02124542248661393,0.31466666666666665,0.31466666666666665,2026-09-23T15:20:42.916758+00:00
baseline,val,0.3634867597435607,0.1740892633432852,0.003084175335244599,0.02124542248661393,0.31466666666666665,0.31466666666666665,2026-09-23T15:20:42.916758+00:00
baseline,test,0.577817590926787,0.2708716476946284,0.0022425375423206512,0.018891067730751998,0.36117647058823527,0.36117647058823527,2026-09-23T15:20:42.928088+00:00
baseline,test,0.577817590926787,0.2708716476946284,0.0022425375423206512,0.018891067730751998,0.36117647058823527,0.36117647058823527,2026-09-23T15:20:42.928088+00:00
baseline,val,0.5158884681162361,0.10253343107841383,2.3677241755193914,0.16698673871761857,0.5306666666666667,0.5306666666666667,2026-09-23T15:47:23.294570+00:00
baseline,val,0.5158884681162361,0.10253343107841383,2.3677241755193914,0.16698673871761857,0.5306666666666667,0.5306666666666667,2026-09-23T15:47:23.294570+00:00
baseline,test,0.6868600635153942,0.15927301420591738,2.8116041012532835,0.1777065335672231,0.5058823529411764,0.5058823529411764,2026-09-23T15:47:23.305628+00:00
baseline,test,0.6868600635153942,0.15927301420591738,2.8116041012532835,0.1777065335672231,0.5058823529411764,0.5058823529411764,2026-09-23T15:47:23.305628+00:00
